# 1146
radius mass density pressure H He CO Fe
32143175.806969427 8.661149898779327e+32 3731090419.725028 2.610430642067509e+27 2.3258128122233153e-05 0.005745650074965241 0.019126282977246997 0.9742253187116396
32297415.624898992 8.735417045188506e+32 3690884848.176919 2.575790547753167e+27 2.413525952764424e-05 0.005875101721510258 0.018606842007800294 0.9746122776936124
32465320.06420596 8.816227710362736e+32 3652626666.2581754 2.5428334020030264e+27 2.4928822443821345e-05 0.0059888071690612785 0.01812141501347008 0.974983481133883
32648115.009269994 8.90415842968676e+32 3611471700.563564 2.507383508655305e+27 2.571939616276499e-05 0.006097556890483487 0.017602147868406262 0.9753960729604009
32803616.881357443 8.978912521607331e+32 3571958241.825863 2.473633858806728e+27 2.6696128796411436e-05 0.006235932277656453 0.017117651895829252 0.9757398102469313
32972709.800811358 9.06014133574276e+32 3534228529.650321 2.4416188198513892e+27 2.779940626887305e-05 0.00639302645300922 0.016666718189679477 0.9760283450630989
33156579.93920676 9.148405671196912e+32 3494100115.219711 2.407227638929308e+27 2.8553849545018463e-05 0.006488656044251188 0.016185532292627914 0.9764198191446399
33313182.356586695 9.223512973432582e+32 3455292150.716534 2.3744951361389995e+27 2.979273069436632e-05 0.0066601492052099 0.01573666473630457 0.9766908803772558
33483533.68753829 9.30515019512699e+32 3418862603.028816 2.343421089669776e+27 3.05001153724354e-05 0.006745493435152717 0.015309379142037748 0.9770397948633528
33668879.651887864 9.393885055354953e+32 3379379067.121792 2.310036470836468e+27 3.153379280304371e-05 0.006877336653954736 0.014857700310570703 0.9773610847872028
33826722.05945905 9.46937478701819e+32 3341662414.4122486 2.278259533138148e+27 3.258665258880245e-05 0.0070105255047573835 0.01443535736007045 0.9776515199652187
33998447.519335195 9.551419963202147e+32 3305870116.090718 2.2481016771284776e+27 3.3510347637093336e-05 0.007122703179065094 0.014038193831998568 0.9779403950821104
34185321.949461825 9.640589851433914e+32 3267046882.6844177 2.2157063660765476e+27 3.48568797031703e-05 0.0072937839169421054 0.01362223171379471 0.9781829741316345
34344496.47040504 9.7164524983707e+32 3230313142.470414 2.1848708029145773e+27 3.579643161641532e-05 0.0074014981675207085 0.013222162865059093 0.9784821963225502
34517719.0246668 9.798902913525e+32 3195035129.582172 2.1556094051440896e+27 3.712232833498113e-05 0.007565287063825972 0.012861753843898536 0.9786769823447147
34706237.0959464 9.888513166180444e+32 3157482387.9230094 2.124173764002915e+27 3.802578382409615e-05 0.007661152316371336 0.0124667976611351 0.9789847098428829
